t_seconds,phase,depth,rss_mb,batch_id
106.6924,solve.va_sample,2,699.965,
107.1927,solve.va_sample,2,699.965,
107.6930,solve.va_sample,2,699.965,
108.1932,solve.va_sample,2,699.965,
108.6935,solve.va_sample,2,699.965,
109.1938,solve.va_sample,2,699.965,
109.6941,solve.va_sample,2,699.965,
110.1943,solve.va_sample,2,699.965,
110.6946,solve.va_sample,2,699.965,
111.1948,solve.va_sample,2,699.965,
111.6951,solve.va_sample,2,699.965,
112.1953,solve.va_sample,2,699.965,
112.6956,solve.va_sample,2,699.965,
113.1959,solve.va_sample,2,699.965,
113.6961,solve.va_sample,2,699.965,
114.1963,solve.va_sample,2,699.965,
114.6966,solve.va_sample,2,699.965,
115.1969,solve.va_sample,2,699.965,
115.6971,solve.va_sample,2,699.965,
116.1974,solve.va_sample,2,699.965,
116.6976,solve.va_sample,2,699.965,
117.1978,solve.va_sample,2,699.965,
117.6981,solve.va_sample,2,699.965,
118.1983,solve.va_sample,2,699.965,
118.6986,solve.va_sample,2,699.965,
119.1988,solve.va_sample,2,699.965,
119.6990,solve.va_sample,2,699.965,
120.1993,solve.va_sample,2,699.965,
120.6995,solve.va_sample,2,699.965,
121.1998,solve.va_sample,2,699.965,
121.7000,solve.va_sample,2,699.965,
122.2003,solve.va_sample,2,699.965,
122.7005,solve.va_sample,2,699.965,
123.2008,solve.va_sample,2,699.965,
123.7010,solve.va_sample,2,699.965,
124.2013,solve.va_sample,2,699.965,
124.7016,solve.va_sample,2,699.965,
125.2018,solve.va_sample,2,699.965,
125.7021,solve.va_sample,2,699.965,
126.2023,solve.va_sample,2,699.965,
126.7026,solve.va_sample,2,699.965,
127.2028,solve.va_sample,2,699.965,
127.7031,solve.va_sample,2,699.965,
128.2033,solve.va_sample,2,699.965,
128.7036,solve.va_sample,2,699.965,
129.2038,solve.va_sample,2,699.965,
129.7041,solve.va_sample,2,699.965,
130.2043,solve.va_sample,2,699.965,
130.7045,solve.va_sample,2,699.965,
131.2048,solve.va_sample,2,699.965,
131.7050,solve.va_sample,2,699.965,
132.2053,solve.va_sample,2,699.965,
132.7055,solve.va_sample,2,699.965,
133.2058,solve.va_sample,2,699.965,
133.7060,solve.va_sample,2,699.965,
134.2062,solve.va_sample,2,699.965,
134.7065,solve.va_sample,2,699.965,
135.2067,solve.va_sample,2,699.965,
135.7069,solve.va_sample,2,699.965,
136.2072,solve.va_sample,2,699.965,
136.7074,solve.va_sample,2,699.965,
137.2076,solve.va_sample,2,699.965,
137.7079,solve.va_sample,2,699.965,
138.2081,solve.va_sample,2,699.965,
138.7084,solve.va_sample,2,699.965,
139.2087,solve.va_sample,2,699.965,
139.7089,solve.va_sample,2,699.965,
140.2091,solve.va_sample,2,699.965,
140.7094,solve.va_sample,2,699.965,
141.2096,solve.va_sample,2,699.965,
141.7099,solve.va_sample,2,699.965,
142.2101,solve.va_sample,2,699.965,
142.7103,solve.va_sample,2,699.965,
143.2106,solve.va_sample,2,699.965,
143.7108,solve.va_sample,2,699.965,
144.2111,solve.va_sample,2,699.965,
144.7113,solve.va_sample,2,699.965,
145.2116,solve.va_sample,2,699.965,
145.7118,solve.va_sample,2,699.965,
146.2121,solve.va_sample,2,699.965,
146.7123,solve.va_sample,2,699.965,
147.2125,solve.va_sample,2,699.965,
147.7128,solve.va_sample,2,699.965,
148.2130,solve.va_sample,2,699.965,
148.7133,solve.va_sample,2,699.965,
149.2135,solve.va_sample,2,699.965,
149.7137,solve.va_sample,2,699.965,
150.2140,solve.va_sample,2,699.965,
150.7142,solve.va_sample,2,699.965,
151.2145,solve.va_sample,2,699.965,
151.7147,solve.va_sample,2,699.965,
152.2150,solve.va_sample,2,699.965,
152.7152,solve.va_sample,2,699.965,
153.2154,solve.va_sample,2,699.965,
153.7157,solve.va_sample,2,699.965,
154.2159,solve.va_sample,2,699.965,
154.7161,solve.va_sample,2,699.965,
155.2164,solve.va_sample,2,699.965,
155.7166,solve.va_sample,2,699.965,
156.2168,solve.va_sample,2,699.965,
156.7171,solve.va_sample,2,699.965,
157.2174,solve.va_sample,2,699.965,
157.7176,solve.va_sample,2,699.965,
158.2178,solve.va_sample,2,699.965,
158.7181,solve.va_sample,2,699.965,
159.2183,solve.va_sample,2,699.965,
159.7186,solve.va_sample,2,699.965,
160.2188,solve.va_sample,2,699.965,
160.7190,solve.va_sample,2,699.965,
161.2193,solve.va_sample,2,699.965,
161.7196,solve.va_sample,2,699.965,
162.2198,solve.va_sample,2,699.965,
162.7201,solve.va_sample,2,699.965,
163.2203,solve.va_sample,2,699.965,
163.7206,solve.va_sample,2,699.965,
164.2208,solve.va_sample,2,699.965,
164.7210,solve.va_sample,2,699.965,
165.2213,solve.va_sample,2,699.965,
165.7215,solve.va_sample,2,699.965,
166.2218,solve.va_sample,2,699.965,
166.7220,solve.va_sample,2,699.965,
167.2223,solve.va_sample,2,699.965,
167.7225,solve.va_sample,2,699.965,
168.2228,solve.va_sample,2,699.965,
168.7230,solve.va_sample,2,699.965,
169.2232,solve.va_sample,2,699.965,
169.7235,solve.va_sample,2,699.965,
170.2237,solve.va_sample,2,699.965,
170.7240,solve.va_sample,2,699.965,
171.2242,solve.va_sample,2,699.965,
171.7244,solve.va_sample,2,699.965,
172.2247,solve.va_sample,2,699.965,
172.7249,solve.va_sample,2,699.965,
173.2252,solve.va_sample,2,699.965,
173.7255,solve.va_sample,2,699.965,
174.2258,solve.va_sample,2,699.965,
174.7260,solve.va_sample,2,699.965,
175.2263,solve.va_sample,2,699.965,
175.7265,solve.va_sample,2,699.965,
176.2268,solve.va_sample,2,699.965,
176.7270,solve.va_sample,2,699.965,
177.2273,solve.va_sample,2,699.965,
177.7275,solve.va_sample,2,699.965,
178.2278,solve.va_sample,2,699.965,
178.7281,solve.va_sample,2,699.965,
179.2283,solve.va_sample,2,699.965,
179.7286,solve.va_sample,2,699.965,
180.2288,solve.va_sample,2,699.965,
180.7291,solve.va_sample,2,699.965,
181.2293,solve.va_sample,2,699.965,
181.7296,solve.va_sample,2,699.965,
182.2298,solve.va_sample,2,699.965,
182.7301,solve.va_sample,2,699.965,
183.2304,solve.va_sample,2,699.965,
183.7306,solve.va_sample,2,699.965,
184.2309,solve.va_sample,2,699.965,
184.7311,solve.va_sample,2,699.965,
185.2313,solve.va_sample,2,699.965,
185.7316,solve.va_sample,2,699.965,
186.2318,solve.va_sample,2,699.965,
